"","run","condition","emo","cert","rt","trial","sub","acc","shock","control"
"3813",6,"Controllable Unpleasant",2,4,0.8580818,69,59,1,"Unpleasant","Controllable"
"3814",6,"Uncontrollable Perceptible",1,4,0,70,59,0,"Mild","Uncontrollable"
"3815",6,"Uncontrollable Unpleasant",3,4,0.6973294,71,59,1,"Unpleasant","Uncontrollable"
"3816",6,"Controllable Perceptible",2,4,0,72,59,0,"Mild","Controllable"
"3817",7,"Uncontrollable Unpleasant",2,4,0,73,59,0,"Unpleasant","Uncontrollable"
"3818",7,"Controllable Perceptible",3,4,0.7972669,74,59,1,"Mild","Controllable"
"3819",7,"Controllable Unpleasant",4,4,0,75,59,0,"Unpleasant","Controllable"
"3820",7,"Uncontrollable Perceptible",1,4,0.877657,76,59,1,"Mild","Uncontrollable"
"3821",7,"Controllable Perceptible",2,4,0.8370832,77,59,1,"Mild","Controllable"
"3822",7,"Controllable Unpleasant",3,2,0.7575896,78,59,1,"Unpleasant","Controllable"
"3823",7,"Uncontrollable Unpleasant",2,3,0.8375192,79,59,1,"Unpleasant","Uncontrollable"
"3824",7,"Uncontrollable Perceptible",2,3,0.7180275,80,59,1,"Mild","Uncontrollable"
"3825",7,"Controllable Perceptible",1,3,0.9571387,81,59,1,"Mild","Controllable"
"3826",7,"Uncontrollable Perceptible",1,4,0.7375206,82,59,1,"Mild","Uncontrollable"
"3827",7,"Controllable Unpleasant",3,3,0.8373812,83,59,1,"Unpleasant","Controllable"
"3828",7,"Uncontrollable Unpleasant",2,4,0.7978424,84,59,1,"Unpleasant","Uncontrollable"
"3829",1,"Controllable Perceptible",1,4,0,1,60,0,"Mild","Controllable"
"3830",1,"Uncontrollable Unpleasant",2,4,0,2,60,0,"Unpleasant","Uncontrollable"
"3831",1,"Uncontrollable Perceptible",1,4,0.8975261,3,60,1,"Mild","Uncontrollable"
"3832",1,"Controllable Unpleasant",2,4,0.8579913,4,60,1,"Unpleasant","Controllable"
"3833",1,"Uncontrollable Unpleasant",2,4,0.8371704,5,60,1,"Unpleasant","Uncontrollable"
"3834",1,"Controllable Unpleasant",1,4,0.8178158,6,60,1,"Unpleasant","Controllable"
"3835",1,"Controllable Perceptible",1,4,0,7,60,0,"Mild","Controllable"
"3836",1,"Uncontrollable Perceptible",2,4,0,8,60,0,"Mild","Uncontrollable"
"3837",1,"Uncontrollable Unpleasant",3,4,0.8974234,9,60,1,"Unpleasant","Uncontrollable"
"3838",1,"Controllable Perceptible",1,4,0.7577062,10,60,1,"Mild","Controllable"
"3839",1,"Uncontrollable Perceptible",3,2,0.9375684,11,60,1,"Mild","Uncontrollable"
"3840",1,"Controllable Unpleasant",2,4,0,12,60,0,"Unpleasant","Controllable"
"3841",2,"Uncontrollable Unpleasant",2,4,0.9182028,13,60,1,"Unpleasant","Uncontrollable"
"3842",2,"Controllable Unpleasant",2,4,0.8570942,14,60,1,"Unpleasant","Controllable"
"3843",2,"Controllable Perceptible",2,4,0,15,60,0,"Mild","Controllable"
"3844",2,"Uncontrollable Perceptible",2,4,0.9173359,16,60,1,"Mild","Uncontrollable"
"3845",2,"Controllable Unpleasant",2,4,0,17,60,0,"Unpleasant","Controllable"
"3846",2,"Controllable Perceptible",2,4,0.9383389,18,60,1,"Mild","Controllable"
"3847",2,"Uncontrollable Perceptible",2,4,0,19,60,0,"Mild","Uncontrollable"
"3848",2,"Uncontrollable Unpleasant",2,4,0,20,60,0,"Unpleasant","Uncontrollable"
"3849",2,"Uncontrollable Unpleasant",2,4,0.9378844,21,60,1,"Unpleasant","Uncontrollable"
"3850",2,"Controllable Perceptible",3,4,0.8776759,22,60,1,"Mild","Controllable"
"3851",2,"Controllable Unpleasant",3,4,0,23,60,0,"Unpleasant","Controllable"
"3852",2,"Uncontrollable Perceptible",2,4,0,24,60,0,"Mild","Uncontrollable"
"3853",3,"Uncontrollable Unpleasant",2,4,0.8182539,25,60,1,"Unpleasant","Uncontrollable"
"3854",3,"Controllable Unpleasant",3,4,0.8978975,26,60,1,"Unpleasant","Controllable"
"3855",3,"Controllable Perceptible",2,4,0,27,60,0,"Mild","Controllable"
"3856",3,"Uncontrollable Perceptible",2,4,0.7982283,28,60,1,"Mild","Uncontrollable"
"3857",3,"Controllable Perceptible",2,4,0,29,60,0,"Mild","Controllable"
"3858",3,"Uncontrollable Perceptible",1,4,0.8172737,30,60,1,"Mild","Uncontrollable"
"3859",3,"Uncontrollable Unpleasant",2,4,0,31,60,0,"Unpleasant","Uncontrollable"
"3860",3,"Controllable Unpleasant",2,4,0,32,60,0,"Unpleasant","Controllable"
"3861",3,"Uncontrollable Perceptible",1,4,0.9373201,33,60,1,"Mild","Uncontrollable"
"3862",3,"Controllable Perceptible",1,4,0.8174157,34,60,1,"Mild","Controllable"
"3863",3,"Controllable Unpleasant",2,4,0.8377731,35,60,1,"Unpleasant","Controllable"
"3864",3,"Uncontrollable Unpleasant",2,4,0.9192926,36,60,1,"Unpleasant","Uncontrollable"
"3865",4,"Uncontrollable Unpleasant",2,4,0.7979101,37,60,1,"Unpleasant","Uncontrollable"
"3866",4,"Controllable Perceptible",3,4,0.9178308,38,60,1,"Mild","Controllable"
"3867",4,"Controllable Unpleasant",2,4,0.8770132,39,60,1,"Unpleasant","Controllable"
"3868",4,"Uncontrollable Perceptible",1,4,0,40,60,0,"Mild","Uncontrollable"
"3869",4,"Uncontrollable Unpleasant",2,4,0.877149,41,60,1,"Unpleasant","Uncontrollable"
"3870",4,"Uncontrollable Perceptible",1,4,0,42,60,0,"Mild","Uncontrollable"
"3871",4,"Controllable Perceptible",2,4,0.7974112,43,60,1,"Mild","Controllable"
"3872",4,"Controllable Unpleasant",2,4,0,44,60,0,"Unpleasant","Controllable"
"3873",4,"Controllable Perceptible",1,4,0.7781573,45,60,1,"Mild","Controllable"
"3874",4,"Uncontrollable Unpleasant",3,4,0,46,60,0,"Unpleasant","Uncontrollable"
"3875",4,"Uncontrollable Perceptible",1,4,0.8378541,47,60,1,"Mild","Uncontrollable"
"3876",4,"Controllable Unpleasant",3,4,0,48,60,0,"Unpleasant","Controllable"
"3877",5,"Controllable Unpleasant",2,4,0.8177612,49,60,1,"Unpleasant","Controllable"
"3878",5,"Uncontrollable Unpleasant",3,4,0,50,60,0,"Unpleasant","Uncontrollable"
"3879",5,"Uncontrollable Perceptible",2,4,0,51,60,0,"Mild","Uncontrollable"
"3880",5,"Controllable Perceptible",1,4,0,52,60,0,"Mild","Controllable"
"3881",5,"Uncontrollable Unpleasant",2,4,0.8375788,53,60,1,"Unpleasant","Uncontrollable"
"3882",5,"Controllable Perceptible",1,4,0.9579916,54,60,1,"Mild","Controllable"
"3883",5,"Controllable Unpleasant",3,4,0,55,60,0,"Unpleasant","Controllable"
"3884",5,"Uncontrollable Perceptible",1,4,0.7974484,56,60,1,"Mild","Uncontrollable"
"3885",5,"Controllable Unpleasant",3,4,0,57,60,0,"Unpleasant","Controllable"
"3886",5,"Uncontrollable Unpleasant",2,4,0.8783867,58,60,1,"Unpleasant","Uncontrollable"
"3887",5,"Controllable Perceptible",1,4,0.8373847,59,60,1,"Mild","Controllable"
"3888",5,"Uncontrollable Perceptible",2,4,0,60,60,0,"Mild","Uncontrollable"
"3889",6,"Controllable Perceptible",2,4,0,61,60,0,"Mild","Controllable"
"3890",6,"Controllable Unpleasant",2,4,0.917157,62,60,1,"Unpleasant","Controllable"
"3891",6,"Uncontrollable Perceptible",2,4,0,63,60,0,"Mild","Uncontrollable"
"3892",6,"Uncontrollable Unpleasant",2,4,0.8179172,64,60,1,"Unpleasant","Uncontrollable"
"3893",6,"Controllable Perceptible",4,1,0.9376587,65,60,1,"Mild","Controllable"
"3894",6,"Controllable Unpleasant",2,4,0.8576414,66,60,1,"Unpleasant","Controllable"
"3895",6,"Uncontrollable Perceptible",1,4,0.7974698,67,60,1,"Mild","Uncontrollable"
"3896",6,"Uncontrollable Unpleasant",2,4,0,68,60,0,"Unpleasant","Uncontrollable"
"3897",6,"Uncontrollable Unpleasant",3,4,0.858104,69,60,1,"Unpleasant","Uncontrollable"
"3898",6,"Uncontrollable Perceptible",2,4,0.8376331,70,60,1,"Mild","Uncontrollable"
"3899",6,"Controllable Unpleasant",3,4,0,71,60,0,"Unpleasant","Controllable"
"3900",6,"Controllable Perceptible",1,4,0.8381684,72,60,1,"Mild","Controllable"
"3901",7,"Uncontrollable Unpleasant",2,4,0.878093,73,60,1,"Unpleasant","Uncontrollable"
"3902",7,"Controllable Unpleasant",2,4,0.897793,74,60,1,"Unpleasant","Controllable"
"3903",7,"Uncontrollable Perceptible",1,4,0,75,60,0,"Mild","Uncontrollable"
"3904",7,"Controllable Perceptible",2,4,0.7579298,76,60,1,"Mild","Controllable"
"3905",7,"Uncontrollable Unpleasant",2,4,0.8378321,77,60,1,"Unpleasant","Uncontrollable"
"3906",7,"Uncontrollable Perceptible",1,4,0.7983038,78,60,1,"Mild","Uncontrollable"
"3907",7,"Controllable Unpleasant",2,4,0.8973596,79,60,1,"Unpleasant","Controllable"
"3908",7,"Controllable Perceptible",3,4,0,80,60,0,"Mild","Controllable"
"3909",7,"Controllable Perceptible",2,4,0,81,60,0,"Mild","Controllable"
"3910",7,"Controllable Unpleasant",2,4,0.937638,82,60,1,"Unpleasant","Controllable"
"3911",7,"Uncontrollable Unpleasant",2,4,0.8174625,83,60,1,"Unpleasant","Uncontrollable"
"3912",7,"Uncontrollable Perceptible",1,4,0.9378525,84,60,1,"Mild","Uncontrollable"
"3913",1,"Uncontrollable Perceptible",1,4,0,1,61,0,"Mild","Uncontrollable"
"3914",1,"Controllable Unpleasant",3,4,0,2,61,0,"Unpleasant","Controllable"
"3915",1,"Uncontrollable Unpleasant",2,4,0,3,61,0,"Unpleasant","Uncontrollable"
"3916",1,"Controllable Perceptible",1,4,0.8573154,4,61,1,"Mild","Controllable"
"3917",1,"Controllable Perceptible",1,4,0.8368227,5,61,1,"Mild","Controllable"
"3918",1,"Uncontrollable Unpleasant",2,3,0.8175723,6,61,1,"Unpleasant","Uncontrollable"
"3919",1,"Uncontrollable Perceptible",1,4,0,7,61,0,"Mild","Uncontrollable"
"3920",1,"Controllable Unpleasant",3,4,0,8,61,0,"Unpleasant","Controllable"
"3921",1,"Uncontrollable Perceptible",1,4,0,9,61,0,"Mild","Uncontrollable"
"3922",1,"Controllable Perceptible",1,4,0,10,61,0,"Mild","Controllable"
"3923",1,"Controllable Unpleasant",2,2,0.8967395,11,61,1,"Unpleasant","Controllable"
"3924",1,"Uncontrollable Unpleasant",4,3,0,12,61,0,"Unpleasant","Uncontrollable"
"3925",2,"Uncontrollable Unpleasant",2,3,0,13,61,0,"Unpleasant","Uncontrollable"
"3926",2,"Controllable Unpleasant",2,3,0.8174712,14,61,1,"Unpleasant","Controllable"
"3927",2,"Uncontrollable Perceptible",1,4,0,15,61,0,"Mild","Uncontrollable"
"3928",2,"Controllable Perceptible",1,4,0,16,61,0,"Mild","Controllable"
"3929",2,"Controllable Perceptible",1,4,0,17,61,0,"Mild","Controllable"
"3930",2,"Uncontrollable Perceptible",1,4,0,18,61,0,"Mild","Uncontrollable"
"3931",2,"Uncontrollable Unpleasant",2,3,0.9380236,19,61,1,"Unpleasant","Uncontrollable"
"3932",2,"Controllable Unpleasant",3,3,0.8979819,20,61,1,"Unpleasant","Controllable"
"3933",2,"Controllable Perceptible",1,4,0.9383269,21,61,1,"Mild","Controllable"
"3934",2,"Uncontrollable Unpleasant",3,3,0.8974824,22,61,1,"Unpleasant","Uncontrollable"
"3935",2,"Uncontrollable Perceptible",1,4,0,23,61,0,"Mild","Uncontrollable"
"3936",2,"Controllable Unpleasant",2,4,0.9170672,24,61,1,"Unpleasant","Controllable"
"3937",3,"Controllable Perceptible",1,4,0.8775491,25,61,1,"Mild","Controllable"
"3938",3,"Uncontrollable Unpleasant",1,2,0.8171294,26,61,1,"Unpleasant","Uncontrollable"
"3939",3,"Controllable Unpleasant",3,4,0,27,61,0,"Unpleasant","Controllable"
"3940",3,"Uncontrollable Perceptible",1,4,0.8373464,28,61,1,"Mild","Uncontrollable"
"3941",3,"Controllable Perceptible",1,4,0.8378076,29,61,1,"Mild","Controllable"
"3942",3,"Uncontrollable Perceptible",1,4,0.9362463,30,61,1,"Mild","Uncontrollable"
"3943",3,"Controllable Unpleasant",3,4,0,31,61,0,"Unpleasant","Controllable"
"3944",3,"Uncontrollable Unpleasant",2,4,0.917783,32,61,1,"Unpleasant","Uncontrollable"
"3945",3,"Uncontrollable Unpleasant",2,4,0,33,61,0,"Unpleasant","Uncontrollable"
"3946",3,"Controllable Unpleasant",2,3,0,34,61,0,"Unpleasant","Controllable"
"3947",3,"Uncontrollable Perceptible",1,4,0,35,61,0,"Mild","Uncontrollable"
"3948",3,"Controllable Perceptible",1,4,0,36,61,0,"Mild","Controllable"
"3949",4,"Controllable Unpleasant",2,3,0.877671,37,61,1,"Unpleasant","Controllable"
"3950",4,"Uncontrollable Perceptible",1,4,0,38,61,0,"Mild","Uncontrollable"
"3951",4,"Uncontrollable Unpleasant",2,4,0.917515,39,61,1,"Unpleasant","Uncontrollable"
"3952",4,"Controllable Perceptible",1,4,0,40,61,0,"Mild","Controllable"
"3953",4,"Controllable Perceptible",1,4,0.857653,41,61,1,"Mild","Controllable"
"3954",4,"Uncontrollable Perceptible",1,4,0,42,61,0,"Mild","Uncontrollable"
"3955",4,"Uncontrollable Unpleasant",2,4,0.7776376,43,61,1,"Unpleasant","Uncontrollable"
"3956",4,"Controllable Unpleasant",2,4,0.8170869,44,61,1,"Unpleasant","Controllable"
"3957",4,"Uncontrollable Perceptible",1,4,0.9175856,45,61,1,"Mild","Uncontrollable"
"3958",4,"Controllable Unpleasant",2,4,0.9179059,46,61,1,"Unpleasant","Controllable"
"3959",4,"Uncontrollable Unpleasant",2,4,0.8378741,47,61,1,"Unpleasant","Uncontrollable"
"3960",4,"Controllable Perceptible",1,4,0.8569072,48,61,1,"Mild","Controllable"
"3961",5,"Uncontrollable Perceptible",1,4,0.8578704,49,61,1,"Mild","Uncontrollable"
"3962",5,"Uncontrollable Unpleasant",2,3,0,50,61,0,"Unpleasant","Uncontrollable"
"3963",5,"Controllable Perceptible",1,4,0,51,61,0,"Mild","Controllable"
"3964",5,"Controllable Unpleasant",3,3,0.8171589,52,61,1,"Unpleasant","Controllable"
"3965",5,"Controllable Unpleasant",3,3,0.8777083,53,61,1,"Unpleasant","Controllable"
"3966",5,"Uncontrollable Perceptible",1,4,0.8768498,54,61,1,"Mild","Uncontrollable"
"3967",5,"Uncontrollable Unpleasant",3,4,0.8573023,55,61,1,"Unpleasant","Uncontrollable"
"3968",5,"Controllable Perceptible",1,4,0.916559,56,61,1,"Mild","Controllable"
"3969",5,"Uncontrollable Perceptible",1,4,0,57,61,0,"Mild","Uncontrollable"
"3970",5,"Controllable Perceptible",1,4,0,58,61,0,"Mild","Controllable"
"3971",5,"Controllable Unpleasant",1,3,0.7971302,59,61,1,"Unpleasant","Controllable"
"3972",5,"Uncontrollable Unpleasant",2,4,0.878147,60,61,1,"Unpleasant","Uncontrollable"
"3973",6,"Controllable Perceptible",1,4,0,61,61,0,"Mild","Controllable"
